source,author,title,description,publishedAT,content
the florida times-union,"cherri pitzer, jacksonville florida times-union","lulelemon, dreamette, homesense: what's new in jacksonville's building permits","recent permits show four city park upgrades, a new art building for episcopal high school, a new dreamette, and the city's first homesense store",2023-09-19T09:11:02Z,here's a look at some of the most notable building permits issued in jacksonville from sept 11-17 renovations for relocation of lululemon in st johns town center continue interior shell alterati… [+13590 chars]
marketscreenercom,,aeglea biotherapeutics : report of independent registered public accounting firm - form 8-k,"(marketscreenercom) report of independent registered public accounting firm to the board of directors of aeglea biotherapeutics, inc opinion we have audited the accompanying statement of assets acquired and liabilities assumed from spyre …",2023-10-10T10:44:12Z,"report of independent registered public accounting firm to the board of directors of aeglea biotherapeutics, inc opinion we have audited the accompanying statement of assets acquired and liabilit… [+28627 chars]"
globenewswire,konica minolta business solutions (canada) ltd,konica minolta named a ‘leader in quocirca managed print services 2023 report,"report highlights cost, security and sustainability as top print management challenges report highlights cost, security and sustainability as top print management challenges",2023-09-28T15:00:00Z,"mississauga, ontario, sept 28, 2023 (globe newswire) -- konica minolta business (canada) ltd (konica minolta) today announced it has been named a leader in managed print services (mps) by quocirca … [+4907 chars]"
globenewswire,konica minolta business solutions (canada) ltd,konica minolta nommée chef de file des services dimpression gérés dans le rapport 2023 de quocirca,"les coûts, la sécurité et la durabilité sont les grands défis de la gestion de limpression, selon le rapport les coûts, la sécurité et la durabilité sont les grands défis de la gestion de limpression, selon le rapport",2023-09-28T15:00:00Z,"mississauga, ontario, 28 sept 2023 (globe newswire) -- solutions daffaires konica minolta canada ltée (konica minolta) annonce aujourdhui quelle a été nommée pour une troisième année consécutive che… [+5838 chars]"
bleeding cool news,rich johnston,dark horse's december 2023 solicits… and january 2024 solicits too,"dark horse comics is doubling up on their december 2023 solicits with a number of january editions as well so the new solicits see two issues of assassin's apprentice ii, black hammer: the end, borealis, canary, count crowley cyberpunk 2077 xoxo, drive like…",2023-09-22T11:57:09Z,"posted in: comics, comics publishers, current news, dark horse comics | tagged: alex maleev, assassin's apprentice, borealis, brian bendis, december 2023, january 2024, masterpiece, solicits, star wa… [+40408 chars]"
