source,author,title,description,publishedAT,content
marketscreenercom,business wire,"sonendo, inc announces inducement grants under nyse listing rule 303a08","(marketscreenercom) sonendo, inc , a leading dental technology company and developer of the gentlewave® system, today announced that on september 25, 2023, the compensation committee of sonendos board of directors granted restricted stock unit awards cove…",2023-09-26T12:03:01Z,"sonendo, inc (nyse: sonx), a leading dental technology company and developer of the gentlewave® system, today announced that on september 25, 2023, the compensation committee of sonendos board of di… [+2518 chars]"
marketscreenercom,business wire,"sonendo, inc announces receipt of notice of non-compliance with nyse trading share price listing rule","(marketscreenercom) sonendo, inc , a leading dental technology company and developer of the gentlewave® system, today announced that on september 28, 2023, it received notice from the new york stock exchange that the company is not in compliance with appli…",2023-10-02T20:41:02Z,"sonendo, inc (nyse: sonx) (sonendo or the company), a leading dental technology company and developer of the gentlewave® system, today announced that on september 28, 2023, it received notice (the n… [+4841 chars]"
marketscreenercom,business wire,sonendo to participate at the gilmartin group emerging growth company showcase,"(marketscreenercom) sonendo, inc , a leading dental technology company and developer of the gentlewave® system, today announced that management will participate in the upcoming gilmartin group emerging growth company showcase management is scheduled to pr…",2023-09-18T12:05:01Z,"sonendo, inc (nyse: sonx), a leading dental technology company and developer of the gentlewave® system, today announced that management will participate in the upcoming gilmartin group emerging grow… [+1901 chars]"
marketscreenercom,business wire,sonendo to participate at the ld micro main event xvi conference,"(marketscreenercom) sonendo, inc , a leading dental technology company and developer of the gentlewave® system, today announced that management will participate in the upcoming ld micro main event xvi conference management is scheduled to present on wedne…",2023-09-20T12:04:02Z,"sonendo, inc (nyse: sonx), a leading dental technology company and developer of the gentlewave® system, today announced that management will participate in the upcoming ld micro main event xvi confe… [+1884 chars]"
marketscreenercom,business wire,sonendo announces new partnership agreements with two leading specialty dsos to expand access to the gentlewave® procedure for elevated root canal treatment,(marketscreenercom) the partnership agreements aim to increase the number of endodontic practices offering the gentlewave system https://wwwmarketscreenercom/quote/stock/sonendo-inc-128691362/news/sonendo-announces-new-partnership-agreements-with-two-lea…,2023-10-04T12:04:02Z,"the partnership agreements aim to increase the number of endodontic practices offering the gentlewave system sonendo, inc (nyse: sonx), a leading dental technology company and developer of the gent… [+3541 chars]"
marketscreenercom,business wire,sonendo announces launch of second generation cleanflow™ procedure instrument for heightened efficacy and ease of use,(marketscreenercom) the new enhanced procedure instrument is designed for improved sealing and increased procedural consistency to elevate root canal treatment for clinicians and their patients https://wwwmarketscreenercom/quote/stock/sonendo-inc-1286913…,2023-09-28T12:05:01Z,"the new enhanced procedure instrument is designed for improved sealing and increased procedural consistency to elevate root canal treatment for clinicians and their patients sonendo, inc (nyse: son… [+4242 chars]"
theflycom,,"sonendo reports preliminary q3 revenue $104m, consensus $1036m","see the rest of the story here theflycom provides the latest financial news as it breaks known as a leader in market intelligence, the fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",2023-10-10T12:04:52Z,"earnings calls, analyst events, roadshows and more <ul><li> today at 09:00 firm sponsored meetings </li><li> today at 09:00freshpet, inc firm sponsored meetings </li><li> today at 09:00emea so… [+699 chars]"
globenewswire,brainy insights pvt ltd,"restorative dentistry market size projections indicate a cagr of 623%, envisioned to attain a value of usd 3382 billion by 2032",the global restorative dentistry market size is anticipated to grow from usd 1848 billion to usd 3382 billion in 10 years the market growth is expected to rise during the forecast years due to several key factors these include the increasing utilization o…,2023-09-26T01:00:00Z,"newark, sept 25, 2023 (globe newswire) -- the brainy insights estimates that the usd 1848 billion in 2022 global restorative dentistry market will reach usd 3382 billion by 2032 the efficiency an… [+10687 chars]"
globenewswire,marketus,74% cagr of restorative dentistry market projected to achieve usd 35 bn by 2032 || europe - revenue share of 32% in 2022,dental tourism is booming in developing countries because it offers cost savings and top-notch dental care these nations have modern dental facilities and skilled dentists this trend is expected to boost market growth dental tourism is booming in developin…,2023-09-15T10:03:00Z,"new york, sept 15, 2023 (globe newswire) -- the global restorative dentistry market size is expected to be worth around usd 35 billion by 2032 from usd 18 billion in 2022, growing at a cagr of 74% … [+11939 chars]"
